9.417110126520738;0.0	10.924922828307267;0.0	7.703119074284333;0.0	8.474971086868315;0.0	7.443491856993009;0.0	
8.140451486671832;0.0	9.619649541694864;0.0	6.729469768322835;0.0	9.000853399237904;0.0	5.773673288271227;0.0	
7.708697313570376;0.0	9.040459669950247;0.0	7.505366564362472;0.0	7.518891427583454;0.0	5.904228125322035;0.0	
7.320428527117676;0.0	8.792690740315432;0.0	6.1081886798562675;0.0	7.02740723373045;0.0	5.871083710384017;0.0	
8.980127441519102;0.0	9.774067689344198;0.0	7.222763957715269;0.0	6.922632196330303;0.0	7.053467030620701;0.0	
8.539419521521314;0.0	9.102684728341108;0.0	7.172390479885035;0.0	7.153849554387356;0.0	6.134317865188963;0.0	
5.809359133996959;0.0	9.178744727753303;0.0	7.081712201906827;0.0	7.133678680118;0.0	5.413467978777052;0.0	
9.591855696828311;0.0	9.410342908986472;0.0	6.796323767298968;0.0	7.117906840029668;0.0	5.6150989840208245;0.0	
7.5126923705228705;0.0	7.811079862849494;0.0	6.177862384039658;0.0	5.931098403926811;0.0	5.0461572418131055;0.0	
7.90697142927905;0.0	7.205162013977695;0.0	5.641001496870881;0.0	5.748341010557637;0.0	4.985977077537211;0.0	
8.072469700108936;0.0	8.651517666988362;0.0	6.577228832309282;0.0	7.081382536370768;0.0	5.330730897274612;0.0	
8.22033742026254;0.0	8.148827677144872;0.0	6.771577431740887;0.0	7.207338738003064;0.0	5.520059671795727;0.0	
6.922279597156021;0.0	7.777396146275342;0.0	6.16732562852649;0.0	5.918233078668586;0.0	5.212064440137857;0.0	
5.503151344833399;0.0	5.991053486382839;0.0	5.774692964945452;0.0	5.558671793838571;0.0	5.676181312047219;0.0	
4.574516323766541;0.0	5.921968449185216;0.0	5.619088427349137;0.0	5.430630263532255;0.0	5.0263917912663265;0.0	
5.236346514385721;0.0	5.970207068571023;0.0	5.490271309967787;0.0	5.487719055467666;0.0	5.019677122185589;0.0	
5.3868815790221;0.0	6.208720879529142;0.0	5.608020636624379;0.0	5.609327368627162;0.0	5.371401364190245;0.0	
5.768794675751439;0.0	5.95495378554092;0.0	5.803444691695875;0.0	5.87877652990701;0.0	5.21160389719287;0.0	
6.064096549914782;0.0	6.624931539953836;0.0	6.1042485082592535;0.0	6.132397149838678;0.0	5.300549833638546;0.0	
7.100253187182393;0.0	7.743627867716128;0.0	7.0717315207612295;0.0	7.8575240471234755;0.0	7.092682486184393;0.0	
7.57973479019072;0.0	7.983904980368553;0.0	6.607964155285871;0.0	5.998536908692205;0.0	5.1049814389638595;0.0	
8.241012692342336;0.0	10.866635695392853;0.0	8.710416922199292;0.0	6.917492998761907;0.0	6.761006935586818;0.0	
9.140959989716869;0.0	11.18976637761499;0.0	7.875540208033567;0.0	8.01357999448538;0.0	7.895481093839741;0.0	
9.014737601323818;0.0	8.688673173218769;0.0	7.411352620457716;0.0	7.517447532601847;0.0	6.47909554593634;0.0	
9.021116729488325;0.0	11.0092628689778;0.0	7.251458716714479;0.0	9.66145923108134;0.0	9.127027260676442;0.0	
7.848829753773935;0.0	9.49917690822088;0.0	6.878335735690726;0.0	6.393590912881826;0.0	5.854098860250343;0.0	
8.588727199862774;0.0	10.349410490113343;0.0	7.404033255637427;0.0	7.8185434640313085;0.0	8.065590110308703;0.0	
8.711770936318162;0.0	9.587119902290496;0.0	7.4887424878531865;0.0	7.878205436321368;0.0	7.383006523999362;0.0	
6.177671958439268;0.0	8.196263233780963;0.0	6.399724824212576;0.0	5.978472770358541;0.0	5.407449413824487;0.0	
9.274327615469502;0.0	9.065687603613865;0.0	7.16948368160033;0.0	7.760106757777765;0.0	6.695964064667281;0.0	
7.575439814379314;0.0	7.1579393989075495;0.0	6.189437733866711;0.0	6.049808877892987;0.0	5.01626682815316;0.0	
8.685929496717524;0.0	10.622934209624622;0.0	7.384543462391274;0.0	7.840886033108049;0.0	6.24122848227856;0.0	
7.449036800019641;0.0	9.804896292943198;0.0	6.980093233795339;0.0	7.256536636847956;0.0	5.856244961593542;0.0	
6.211608334567142;0.0	6.716020405747442;0.0	6.837501865174081;0.0	7.3145450681532544;0.0	7.504869590288665;0.0	
6.364359025946196;0.0	7.675330972176512;0.0	7.885510751099973;0.0	7.91494941083637;0.0	7.506998670467739;0.0	
6.141850468103612;0.0	7.3783130615759305;0.0	6.057950073234693;0.0	6.399246677331248;0.0	5.6615960755274015;0.0	
6.494232861875409;0.0	7.203378773214926;0.0	5.612503451521273;0.0	5.552783907081;0.0	5.557964967458833;0.0	
6.832292773097677;0.0	7.810593049820807;0.0	5.821518068092962;0.0	5.649232358850163;0.0	5.007235176488731;0.0	
8.91651446782329;0.0	9.115251027677013;0.0	7.885738280093088;0.0	6.115506231422017;0.0	6.023151831650153;0.0	
7.838578049178543;0.0	9.114264909696717;0.0	7.998193604085716;0.0	7.6445312599932365;0.0	5.958943493533679;0.0	
8.038648390044832;0.0	8.830667510532265;0.0	7.359643644637916;0.0	6.553915213967678;0.0	6.042520124852905;0.0	
6.308344210500957;0.0	9.440297281670407;0.0	7.889082106710863;0.0	6.137158017465444;0.0	4.973482429788663;0.0	
6.3979000467391;0.0	9.384203777295786;0.0	7.468783527160748;0.0	7.068316846984779;0.0	5.5172658472766924;0.0	
5.2322315202745395;0.0	8.77306364737847;0.0	6.559247670268483;0.0	6.142315960909719;0.0	5.355233856873197;0.0	
4.584880958319184;0.0	7.2049681563773325;0.0	5.455039480152655;0.0	5.491456519807341;0.0	4.963265139800419;0.0	
7.198594646214328;0.0	8.251379129277442;0.0	7.099189230290959;0.0	7.699554344921389;0.0	6.552683841279052;0.0	
5.74987717328343;0.0	6.88707490805051;0.0	5.93898105759658;0.0	5.291265987922673;0.0	5.3423415471493;0.0	
7.527544405472042;0.0	7.929289377482188;0.0	6.662312069736545;0.0	5.863558648926673;0.0	5.13414239090943;0.0	
5.186507512244704;0.0	6.309659272871564;0.0	5.484446807659999;0.0	5.184317256354849;0.0	5.023639628798906;0.0	
4.115962851124645;0.0	6.208531383894484;0.0	5.6540291157374005;0.0	5.503065648955594;0.0	5.108742989375547;0.0	
5.123433200671361;0.0	6.464891485507713;0.0	5.402551502678731;0.0	5.40113113593819;0.0	5.058955521691144;0.0	
6.039762094269369;0.0	6.3301430438382535;0.0	5.881344590737668;0.0	5.8867903801165005;0.0	5.174932874784771;0.0	
3.6942620394893244;0.0	6.334323488781244;0.0	5.504728419280306;0.0	5.252722054385478;0.0	5.17323065364359;0.0	
5.593933449267196;0.0	6.163288766907933;0.0	5.6970366551371905;0.0	5.4984124752155;0.0	4.773346878005983;0.0	
5.796307432770351;0.0	6.059740926171914;0.0	5.618212503902661;0.0	5.288267855490262;0.0	5.0195937742672365;0.0	
5.718130411071157;0.0	6.597840416305925;0.0	5.621626342566634;0.0	5.842308380022383;0.0	4.778475360167941;0.0	
